@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE unit NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lp NUMERIC

@DATA
0240f5bddc39ad2f0a786c811fc434a8,1,29.45,0.09,96.14,59.4,9.26,10.02,5.03,0.58,3.04,2.69,2.03,156.01
34c2410669b8063d4b0a16a40b071536,1,44.57,0.95,180.0,0.0,44.47,10.49,5.2,5.68,5.08,5.07,2.08,154.98
dcac26e190c906c61ac7222d6d4628c7,1,28.35,0.0,0.07,180.0,5.37,10.01,5.0,0.75,5.01,2.59,2.0,129.02
90add18e4ee4facb4f37737a9a2602cc,1,17.68,0.07,49.31,78.24,7.28,10.05,5.01,0.44,2.63,2.4,2.05,153.74
fbf3b9f8a03a1efedae3da04622fe96e,1,0.08,0.0,0.02,8.72,0.13,1.75,5.03,0.04,3.09,3.76,2.0,140.59
44ed91b4ca5a5d8323cab4c268d81fd1,1,28.09,0.01,0.05,168.52,5.25,9.73,5.03,0.31,4.99,2.71,2.0,137.2
161a73825fb50badeedbf8d12e1e043a,1,36.4,0.32,0.77,180.0,15.69,10.24,5.16,180.0,5.01,4.18,2.08,150.25
b8e3b884886922343f5cb72d92c24b97,1,0.69,0.0,0.01,0.21,0.04,0.96,5.0,0.12,2.58,4.18,2.0,26.72
1b78438db7da55c2b4c4b8ec6b6cd6c6,1,1.07,0.01,0.73,69.82,0.69,10.01,5.0,1.39,2.27,2.23,2.0,166.88
ae5f6e83a289d226a353efd95b663717,1,11.08,0.13,180.0,0.0,10.11,10.09,5.01,3.45,2.95,2.74,2.1,151.38
129162378e8ad29b5485a9c53feee4b7,1,0.21,0.0,0.1,11.04,0.19,8.14,5.0,0.44,2.42,2.98,2.0,11.76
