@relation R_data_frame
@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric
@data
6e5efd19744842d1fa5415173bffbf6b,1,1
8751f8d1570611ba079dfd862b14c514,1,1
96e01064ac3b644143278c21859e201f,1,1
f959755d7c68ea8b64d900e589fbe21f,1,1
751402d0738e5622b599c651283cb48a,1,1
29505dfcf090c4cfdfb59268160be81d,1,1
385e2c7010a419a9bd47b9258c9d2903,1,1
41457ee03686b32962c12445524f62a9,1,1
361290e60ab2a8ea9dccfcff65bf0778,1,1
112b0ac22b2a567cd3badfed3a5497fd,1,1
bab57c8799cb05c8c1757c60d4ebdefd,1,1
727cd7c528ac106f134cc882c9202108,1,1
3728fe50d8038c639c2d9c84e04fe2b1,1,1
ddd3b43476c18cf483aac233d4dc1c68,1,1
8270ae50e6f2881136868db6d3a88eee,1,1
19c6a29181bee2f3aa03bfb5c5d693d0,1,1
578f9377bfbfcc6ea3a18eb630667956,1,1
824c21545e228872744675ae4ee32976,1,1
87ec32f70c5e3a279e636f7f62e70a19,1,1
25b7a69d04a5029cf4ba2f483b5bec45,1,1
d7f381cd99ca40ba3324c8cc03a54269,1,1
be5c82b97513a31e0b3bcc1c231018ad,1,1
c115ebeec47bb82fa7f9850a632ec94a,1,1
8d458780fb74c28c01a5fe89990ad521,1,1
18babbd2835b8a37c6299f8b0301c7c9,1,1
73063c6257a4ffc29f5bea7028403a64,1,1
150b5f8cac40bb4e0fcbdd65c3c04701,1,1
01bd0865ab694bc71d80b7d285d5777d,1,1
2a4680a801ad32ab8768030250daf0c8,1,1
ff5170c690129f8c94658e82b6aab05c,1,1
0ef0d91d378eab41ba6fb9dfc9b87fc8,1,1
08455b2e1e6fda910989f0481a20f1c3,1,1
8e30bfdb721ca0a20031c79a76f9aa7c,1,1
0be1e12a8e7282d1a4e389bb90f6dbc7,1,1
017ba03ed108f492c9293c7c95e5cae9,1,1
4ffb80a0ad8b753fee1492101ffcbdbb,1,1
945d67baeb7860df648ab6ef4782d5ed,1,1
57c305967b30c503da1737258e6cc7e5,1,1
8b797110ff321ee673eab1542069f192,1,1
e6d247292b525447a220323901842e4c,1,1
fe8b1ef742724947620a419d0180a640,1,2
8cfc8e99d31bcaf18ff3360b08c8521c,1,2
090eefb9bc472f6478e70baf2c6d2403,1,2
328da7966b09b2f6e99c93c4e877fbff,1,2
